system name,parameter name,parameter type,X max, X min,num increments,elasticity perc
All,H2,Price,5.0,1.0,3,3
All,Base Electricity,Price,139.65,46.55,3,3
All,plasma temp K,SystemVar,3000,2500,3,3
All,plasma reactor thermal eff percent,SystemVar,100.0,40.0,3,5
All,plasma torch electro-thermal eff percent,SystemVar,100.0,40.0,3,5
All,b2 basicity,SystemVar,3.5,0.5,3,5
All,max heat exchanger temp K,SystemVar,2000,800,3,3
All,capacity factor,SystemVar,1.0,0.8,3,3
All,plasma h2 excess ratio,SystemVar,4.6,1.0,3,3
